UN,FERC,FINGC,LP,CP,RI,FFRATIO,NFF,NFC,NFC2,NLP,NCP
zoey.cks,1421,1021,512,24,0.619541796,1.391772772,0.005980328,0.421411625,0.265608741,0.709141274,0.342857143
ashbombs,1610,652,447,18,0.788163254,2.469325153,0.010610478,0.477461447,0.169614984,0.619113573,0.257142857
jocelynlaxton,1520,621,494,15,0.111696563,2.447665056,0.010517406,0.450771056,0.161550468,0.684210526,0.214285714
t0ma522,278,370,56,1,0.612141016,0.751351351,0.003228492,0.082443654,0.096253902,0.077562327,0.014285714
steph462,511,560,117,8,0.606175938,0.9125,0.003920934,0.151542112,0.145681582,0.162049861,0.114285714
audreyxdumas,809,752,231,17,0.605001519,1.075797872,0.0046226,0.239916963,0.195629553,0.319944598,0.242857143
taichi.photos,2183,603,507,23,0.385860127,3.620232172,0.015555827,0.647390273,0.156867846,0.702216066,0.328571429
maximilianclausius,961,504,271,16,0.734941778,1.906746032,0.008193124,0.284994069,0.131113424,0.37534626,0.228571429
fleur_stolkx,1693,838,494,15,0.548487812,2.020286396,0.008680997,0.502075919,0.218002081,0.684210526,0.214285714
arya.vohra,393,375,140,11,0.273482021,1.048,0.004503166,0.116548043,0.097554631,0.193905817,0.157142857
jace.gallante,1215,643,296,8,0.601615652,1.889580093,0.008119363,0.360320285,0.167273673,0.409972299,0.114285714
real_jerryg,58,90,0,0,0.601493467,0.644444444,0.002769122,0.017200474,0.023413111,0,0
rthulks,106,112,31,7,0.600874101,0.946428571,0.004066722,0.03143535,0.029136316,0.042936288,0.1
k.choo_,242,295,61,0,0.599299981,0.820338983,0.003524926,0.071767497,0.076742976,0.084487535,0
anushri.s,563,422,146,21,0.597456902,1.334123223,0.005732613,0.166963227,0.109781478,0.202216066,0.3
fleurstolk.private,200,46,56,4,0.596932946,4.347826087,0.018682235,0.059311981,0.011966701,0.077562327,0.057142857
daisy.duss,728,1247,343,10,0.594118686,0.583801123,0.002508543,0.215895611,0.324401665,0.475069252,0.142857143
anisha_kaul,362,407,125,12,0.591327708,0.889434889,0.003821825,0.107354686,0.105879292,0.173130194,0.171428571
lynnchoi0123,235,175,43,4,0.587367679,1.342857143,0.005770142,0.069691578,0.045525494,0.059556787,0.057142857
agathelafarge,601,349,161,25,0.586860465,1.722063037,0.007399557,0.178232503,0.090790843,0.22299169,0.357142857
pratyay20,96,177,15,1,0.583779073,0.542372881,0.00233053,0.028469751,0.046045786,0.020775623,0.014285714
zoefuad,682,523,163,5,0.577662788,1.304015296,0.005603242,0.202253855,0.136056191,0.225761773,0.071428571
arihana.grande,114,62,29,3,0.577103293,1.838709677,0.007900778,0.033807829,0.016129032,0.040166205,0.042857143
